"objectClass","module","ldapMapping","name","shortDescription","longDescription","translationShortDescription","translationLongDescription","tabName","translationTabName","overwriteTab","valueRequired","CLIName","syntax","tabAdvanced","default","mayChange","multivalue","deleteObjectClass","options","tabPosition","hook","overwritePosition","doNotSearch","oxOption","oxField","groupName","translationGroupName","groupPosition","disableUDMWeb","notEditable"
"oxUserObject","users/user","isOxUser","isOxUser","Activate User in OX (unchecking will delete!)","Activate User in OX (unchecking will delete!)","In Open-Xchange aktivieren (Deaktivieren löscht!)","In Open-Xchange aktivieren (Deaktivieren löscht!)","OX App Suite","OX App Suite","","0","isOxUser","OkOrNot","","OK","1","0","1","","1","oxUserDefaults","","0","","","Open-Xchange","","1","",""
"oxUserObject","users/user","oxContextIDNum","oxContextUser","OX context","OX context, the user will be created in","OX-Kontext","OX-Kontext, in dem der Benutzer angelegt wird","OX App Suite","OX App Suite","","0","oxContext","oxContextSelect","","","1","0","0","","2","oxContextRW","","1","","","Open-Xchange","","1","0",""
"oxUserObject","users/user","oxAccess","oxAccess","OX Access","OX Access","OX-Berechtigung","OX-Berechtigung","OX App Suite","OX App Suite","","0","oxAccess","oxaccess","","premium","1","0","1","","4","oxAccess","","0","","","Open-Xchange","","1","",""
"oxUserObject","users/user","oxDisplayName","oxDisplayName","OX Display Name","Name as shown in OX","OX Anzeigename","Name wie er in OX angezeigt wird","OX App Suite","OX App Suite","","0","oxDisplayName","string","","<firstname> <lastname>","1","0","1","","3","","","0","--displayname","Display_name","Open-Xchange","","1","",""
"oxUserObject","users/user","oxLanguage","oxLanguage","Default language","Default language","Sprache","Sprache","OX App Suite","OX App Suite","","0","oxLanguage","oxlanguage","","","1","0","1","","5","","","0","--language","Language","Open-Xchange","","1","",""
"oxUserObject","users/user","oxTimeZone","oxTimeZone","Default timezone","Default timezone","Zeitzone","Zeitzone","OX App Suite","OX App Suite","","0","oxTimeZone","oxtimezone","","","1","0","1","","6","","","0","--timezone","Timezone","Open-Xchange","","1","",""
"oxUserObject","users/user","oxDrive","oxDrive","OX Drive","If OX Drive is enabled in this option AND 'groupware' is selected via the option OX Access, the user may use OX Drive.","OX Drive","Wird OX Drive über die Option aktiviert UND über das Attribut OX-Berechtigung wurde die Groupware-Funktionalität freigeschaltet, kann der Benutzer OX Drive verwenden.","OX App Suite","OX App Suite","","0","oxDrive","oxDriveBool","","1","1","0","0","","7","","","0","","","Open-Xchange","","1","1",""
"oxUserObject","users/user","oxUserQuota","oxUserQuota","OX Drive quota","Quota of disk space the user may use","OX-Quota","Quota des Festplattenplatzes, den ein Benutzer verwenden darf","OX App Suite","OX App Suite","","0","oxUserQuota","string","","-1","1","0","0","","8","","","0","","","Open-Xchange","","1","1",""
"oxUserObject","users/user","oxMiddleName","oxMiddleName","Middle name","Middle name","Zweiter Vorname","Zweiter Vorname","OX App Suite","OX App Suite","","0","oxMiddleName","string","","","1","0","1","","1","","","0","--middle_name","Middle_name","Business","Geschäftlich","2","",""
"oxUserObject","users/user","oxSuffix","oxSuffix","Name suffix","Name suffix","Namenssuffix","Namenssuffix","OX App Suite","OX App Suite","","0","oxSuffix","string","","","1","0","1","","2","","","0","--suffix","Suffix","Business","Geschäftlich","2","",""
